target,text
0,couldn t get shit done today i m so screwed 
0,usrname ummm having some time warner problems 
0,send us your gm chevy photos 
0,i m itchy and miserable 
0,rt is now the time to buy a gm car 
0,is scrapbooking with nic 
0,new nike muppet commercials are pretty cute why do we live together again 
0,waiting in line at safeway 
0,wow everyone at the google i o conference got free g2 s with a month of unlimited service
0, barack obama shows his funny side &gt &gt great speech 
0,i seriously underestimated malcolm gladwell i want to meet this dude 
0,really don t feel like getting up today but got to study to for tomorrows practical exam 
0,rt the upside to time warner unhelpful phone operators superslow on-site service crap that s not an upside 
0,any twitter to aprs apps yet 
0,penndbad send me the dvd cos i have missed out on heaps not happy about that 
0,i m truly braindead i couldn t come up with warren buffet s name to save my soul
0,rt goodby silverstein s new site i enjoy it nice find 
0,is going to sleep then on a bike ride 
0,ugh 92 degrees tomorrow 
0,so tired i didn t sleep well at all last night 
0,wanttss to go out 
0,jquery ui 1 6 book review
0, right lol we ll get there i have high expectations warren buffet style 
0,borders closed at 10 
0,usrname i really liked usrname s learning jquery book is worth a look too
0,shout outs to all east palo alto for being in the buildin karizmakaze 50cal gta also thanks to profits of doom universal hempz cracka 
0,henkuyinepu it s overrated 
0,humpninja i cry my asian eyes to sleep at night 
0,grum wah i can t see clip must be el-stupido work filters can t wait till i get a puter something else 2 blame ex 4 he broke mine 
0,night at the museum 2 pretty furkin good 
0,devsnippets jquery tools - javascript ui components for the web 
0,so many channels yet so so boring lazy day again may have to find a hobby
0,shocked and saddened by this news i had no idea she was having any medical problems the world has lost a good journalist she will be missed so sorry for the loss of your colleague prayers for her family and friends 
0,learning jquery 1 3 book review - c=30629
0,ooooh lol that leslie and ok i won t do it again so leslie won t get mad again 
0,nvidia names stanford s bill dally chief scientist vp of research 
0,andywana not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy 
0,heroes just isn t doing it for me this season 
0,son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell 
0,it s a bank holiday yet i m only out of work now exam season sucks 
0,just woke up an already have written some e-mail i ve to go early at university today as i have to teach at 8 30 am 
0,usrname - awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait 
0,testing twitter api
0,staying at a friends house house sitting neighbors are so loud-having a party 
0,i m really loving the new search site wolfram alpha makes google seem so quaint 
0,new blog post nike sb dunk low premium white gum 
0,twitter stock buzz $aapl $es_f $spy $spx $palm updated 12 00 pm 
0,sad sad sad i don t know why but i hate this feeling i wanna sleep and i still can t 
0,stark you don t follow me either and i work for you 
0,usrname i finally got around to using jquery to make my bio collapse yay for slide animations 
0,this is cold i was looking at google s chart visualization api and found this jquery wrapper for the api 
0,opps as i said i still got one day remain and now problem come 
0,behind on my classes for work 
0,hanging in crooners wanna sing can t sucks 
0,jonathanrknight i guess that s a no then 
0,paradisej cool i will their are all kinds of complaints about this laptop online about overheating but no recalls 
0,lebron and zydrunas are such an awesome duo
0,downloading nin s new album &quot the slip&quot - when the hell did this come out i m so behind the times these days 
0,hollywoodheat i should have paid more attention when we covered photoshop in my webpage design class in undergrad 
0,i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis
0,lt_algonquin agreed i saw the failwhale allllll day today 
0,is pissed off that there s no asba s for a radio station 
0,kwesidei not the whole crew 
0,i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good 
0,just watched night at the museum 2 so stinkin cute 
0,usrname have google profiles stopped showing up in searches cant see them anymore
0,usrname world cup 2010 access damn that s a good look 
0,class the 50d is supposed to come today 
0,tom shanahan s latest column on sdsu and its ncaa baseball regional appearance 
0,ozesteph1992 shame to hear this stephan 
0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon 
0,machineplay i m so sorry you re having to go through this again 
0,obama s speech was pretty awesome last night 
0,usrname i just checked my google for my business- blip shows up as the second entry huh is that a good or ba 6emhv
0,hello twitter api
1,time warner is the devil worst possible time for the internet to go out 
1,life s a bitch and so is dick cheney 
1,i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn 
1,could time-warner cable suck more no 
1, the worst thing about gm concord pleasant hill martinez is the fucking uaw 
1,just got home from chick-fil-a with the boys damn my internets down = stupid time warner
1,is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too 
1,not really you voted for him because you re too intellectually lazy to know better 
1,i just realized we three monkeys in the white obama biden pelosi sarah palin 2012
1,usrname usrname usrname usrname at&amp t dropped the ball and isn t supporting crap with the new iphone 3 0 fail sucks 
1,on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn3rds can come kill me now 
1,dearest usrname you rich bastards the visa card you sent me doesn t work why screw a little guy like me 
1,certainly must be better for them than any islamic country esp for women
1,i will never buy a government motors vehicle until just recently i drove gm cars since 1988 when i bought a 
1,while trump has already started reaching out the obamas once again show the world how classless they r by skipping traditional pic
1,a player with his skills should behave better and show more respect towards everyone that s all
1,time warner cable slogan where calling it a day at 2pm happens 
1,just curious does the use of fire always indicate that something is a riot what do u call guy fawkes night 
1,night at the museum tonite instead of up oh well that 4 yr old better enjoy it lol
1,damn i don t have any chalk my chalkboard is useless 
1,actual human females know he s misogynist thanks for playing
1,usrname pelosi should stay in china and never come back 
1,everyone who does not speak out against white supremacy and bigotry then you support it & can t say you don t
1,this is why he won the media has been feeding these millennial s so many lies stop drinking the koolaide
1,give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good 
1,dick cheney s dishonest speech about torture terror and obama -fred kaplan slate 
